B_exp (T),M_exp (emu/mol)
4.503598046875,18014.723225688558
4.51908203125,18032.892864903777
4.5260931640625,18050.824537247052
4.538092578125,18067.98075527596
4.5576224609375,18103.518853869726
4.564640625,18120.2007893405
4.5766447265625,18139.957458101682
4.587634375,18157.145219821847
4.606703515625,18190.673770396348
4.6221677734375,18209.015019432776
4.6387,18242.663670673937
4.653202734375,18277.347538407197
4.668705078125,18293.778671240583
4.6842451171875,18327.240965427023
4.692244140625,18344.655192629998
4.705251953125,18361.09276765433
4.7177734375,18376.8671063691
4.73826953125,18411.0106260921
4.7452908203125,18427.658620003967
4.7573603515625,18444.543156233856
4.769883203125,18477.025782986337
4.7833779296875,18493.313029046265
4.7963826171875,18508.893904300945
4.808890625,18542.94401061737
4.82992734375,18557.53798862134
4.83689609375,18574.908131252054
4.858430078125,18605.137483862356
4.86543046875,18621.99564540353
4.8879498046875,18654.858552040634
4.9024744140625,18669.89796793023
4.9095169921875,18702.370097443327
4.9215251953125,18716.804387787513
4.9324982421875,18732.632775241542
4.9525404296875,18748.82188515254
4.968017578125,18780.201470515156
4.975527734375,18794.620398095798
4.987558203125,18810.36938813551
5.00805703125,18842.1342870538
5.025084375,18871.81709303565
5.0400734375,18886.26173787939
5.047080078125,18900.74178335637
5.0691146484375,18931.923130778898
5.076617578125,18946.44504826249
5.08812109375,18959.736391149396
5.0996443359375,18990.44428792021
5.120162890625,19005.769938236055
5.1352154296875,19035.097334394206
5.1511880859375,19049.80383878506
5.1577107421875,19063.78313484542
5.1687158203125,19091.919770546952
5.1882423828125,19107.069358001485
5.1952513671875,19121.414697734872
5.2172572265625,19151.22629130744
5.2327765625,19166.254025142127
5.2392810546875,19194.24865226034
5.2598392578125,19206.966012943485
5.2763197265625,19236.043473493148
5.2838244140625,19250.082259320312
5.2968390625,19263.557592809982
5.3088509765625,19292.346294395917
5.32085625,19306.302176921985
5.3418607421875,19317.818798191456
5.348893359375,19347.07910298472
5.3613869140625,19360.446450280306
5.3728654296875,19374.471060386084
5.3849052734375,19387.83850169879
5.4059173828125,19414.503749678508
5.4123982421875,19428.415630107444
5.424909375,19442.226187405955
5.4369419921875,19455.45070420693
5.448974609375,19481.570246803014
5.46151328125,19495.12721952264
5.4820013671875,19508.487435242845
5.4875173828125,19521.368275632518
5.498017578125,19535.439307160854
5.5090486328125,19561.803511898004
5.530566015625,19573.664794139713
5.537562109375,19586.3649002403
5.548537109375,19600.03366500543
5.56055390625,19626.299718634586
5.574053515625,19638.62694728001
5.586565625,19652.219309299446
5.60759453125,19675.956360837514
5.62311640625,19690.34329389018
5.630606640625,19715.744764431784
5.6436439453125,19728.520212026615
5.655665625,19742.580194597387
5.67668203125,19765.365042501624
5.684196484375,19778.847390311545
5.704226171875,19803.325649252434
5.71125,19814.14921616884
5.73324296875,19828.49620691452
5.7392333984375,19853.067574031524
5.76074765625,19866.152263851694
5.76775859375,19875.227072982158
5.7787697265625,19889.118807324165
5.789794140625,19913.943128377643
5.8118173828125,19925.315593590163
5.8198283203125,19950.251992795973
5.8408478515625,19961.392476794717
5.8553310546875,19987.232018939205
5.861835546875,19996.68592139356
5.8738638671875,20009.08078962492
5.88637734375,20021.562282014525
5.89888125,20044.162517034376
5.9193853515625,20056.944344255393
5.9258642578125,20068.22992177389
5.93739609375,20077.992346180832
5.9494349609375,20103.146029162937
5.970439453125,20113.095492287124
5.98594375,20138.452892008867
5.99294609375,20149.2000687839
6.00445546875,20161.432865042276
6.01647734375,20171.326027629853
6.0295048828125,20195.523562216236
6.05048828125,20205.153937333587
6.057012890625,20218.245335375046
6.0680384765625,20227.791335213176
6.0885767578125,20250.450903559733
6.095591796875,20263.68189935628
6.1081283203125,20274.189990526564
6.129134765625,20295.854841737546
6.1456251953125,20317.616779798034
6.153627734375,20328.344057181726
6.1661595703125,20339.35484674123
6.1881671875,20361.12174833645
6.1956552734375,20373.26430997795
6.20817734375,20384.64268491693
6.2192388671875,20404.695871052514
6.231265625,20416.953372667747
6.2443001953125,20426.611154013262
6.2568671875,20439.304112290873
6.2684236328125,20448.13362271591
