Magnetic Field (Oe),Temperature (K),Moment (emu),M (emu/g)
31998.53125,2.99014,0.768916618377496,26.8851964467656
31933.74609375,2.9893316,0.768483593464398,26.8700557155384
31824.2265625,2.98943245,0.768007958380461,26.8534251181979
31620.0830078125,2.9894016,0.767640167796743,26.8405653075784
31475.142578125,2.9901283,0.766806197098898,26.8114054929685
31415.630859375,2.99003125,0.766361801875501,26.7958671984441
31201.478515625,2.9894338,0.765499924361756,26.7657316210404
31136.716796875,2.9896629,0.765066054467211,26.7505613450074
31021.95703125,2.9903412,0.764561827007631,26.7329310142528
30811.9814453125,2.9886124,0.76418724149057,26.7198336185514
30742.087890625,2.98867725,0.763316898376287,26.6894020411289
30627.2822265625,2.9894879,0.762852234359634,26.6731550475397
30507.3203125,2.99043585,0.762451642712533,26.6591483465921
30377.52734375,2.99013625,0.761916414434044,26.6404340711204
30247.9453125,2.9903084,0.760965211775332,26.6071752368997
30123.169921875,2.99092975,0.760495676297979,26.5907579125168
29997.78125,2.98957865,0.760114230617974,26.5774206509781
29787.853515625,2.991189,0.759128425486266,26.5429519400792
29717.7890625,2.98986505,0.758697234044752,26.5278753162501
29518.234375,2.9899068,0.758182561107489,26.5098797590031
29368.2431640625,2.9895937,0.757197545942437,26.475438669316
29298.794921875,2.9899201,0.756726202160182,26.4589581174889
29174.0595703125,2.9898735,0.755727686520919,26.4240449832489
29053.94140625,2.988595,0.755323293793657,26.4099053774006
28924.1201171875,2.9882704,0.754806541396941,26.3918371117811
28804.0849609375,2.989653,0.754289284383214,26.3737512022103
28594.57421875,2.9888394,0.753336250191115,26.3404283283607
28534.62890625,2.98959015,0.75279971930454,26.3216685071518
28339.873046875,2.9904029,0.752296904846228,26.3040875820359
28174.888671875,2.9883091,0.751291736840435,26.2689418475677
28025.44921875,2.9903289,0.750797269061379,26.2516527643839
27955.44921875,2.98996975,0.749669327343258,26.2122142427713
27725.5830078125,2.98988715,0.749149694001465,26.1940452448065
27650.19140625,2.99090495,0.748089527943232,26.1569765015116
27530.630859375,2.99025035,0.747521443216103,26.1371133991644
27406.5205078125,2.98864375,0.747071096124463,26.1213669973588
27276.3798828125,2.9888718,0.746478751322916,26.1006556406614
27071.568359375,2.9900446,0.74544408492525,26.0644784938899
26916.505859375,2.9890404,0.744330879498659,26.0255552272258
26846.6796875,2.9894216,0.743710576650654,26.0038663164564
26731.8271484375,2.989542,0.743125727667327,25.9834170513051
26517.1904296875,2.9888029,0.742054000040763,25.9459440573693
26452.51171875,2.9894246,0.741450440992897,25.9248405941572
26332.4609375,2.9901414,0.740835291499661,25.9033318706175
26207.71875,2.9902389,0.740234327807303,25.8823191541015
25992.8017578125,2.9886181,0.739149628347801,25.8443925995735
25842.7080078125,2.9900837,0.73850706431449,25.8219253256815
25682.8544921875,2.9930599,0.737193743602017,25.7760050210495
25523.4140625,2.99125825,0.735916650621912,25.7313514203466
25453.28125,2.990772,0.735376068320413,25.7124499412732
25338.189453125,2.9907931,0.73472017860159,25.6895167343213
25123.49609375,2.98902525,0.733482728277737,25.6462492404803
24964.025390625,2.9903257,0.732901655351196,25.6259320052866
24813.8671875,2.9888628,0.732298029385344,25.6048262022847
24749.1171875,2.9898292,0.730985903058448,25.5589476593863
24629.283203125,2.99043155,0.730317584113274,25.5355798641005
24419.2919921875,2.9904668,0.729019988284877,25.4902093805901
24354.388671875,2.9900473,0.728341611698966,25.4664899195443
24234.7568359375,2.9906846,0.727699027863051,25.4440219532535
24109.7734375,2.99075305,0.727019976567746,25.4202789009701
23984.955078125,2.9906223,0.725648984124399,25.3723421022517
23730.0859375,2.9880786,0.724979048140739,25.3489177671587
23660.34375,2.98926435,0.723540945206219,25.2986344477699
23535.8173828125,2.99051605,0.722832486915478,25.2738631788629
23325.896484375,2.98733,0.722197628881422,25.2516653455043
23265.9013671875,2.98878265,0.720684356679237,25.1987537300433
23151.076171875,2.9903674,0.719952356089538,25.17315930383
22931.3828125,2.9894862,0.719295500534707,25.1501923263884
22871.64453125,2.9895345,0.717843002343626,25.0994056763506
22661.5927734375,2.9902177,0.717019599146851,25.070615354785
22586.8017578125,2.98948025,0.715618059960159,25.0216104881174
22457.0068359375,2.98886275,0.71476552549452,24.9918015907175
22332.30078125,2.98932925,0.713953194671388,24.9633984150835
22132.353515625,2.9898969,0.713200822377429,24.9370916915185
21987.4814453125,2.9898126,0.711600864709637,24.8811491157216
21822.9951171875,2.989674,0.710014014151097,24.8256648304579
21752.9052734375,2.98913005,0.709155504894378,24.7956470242789
21632.8330078125,2.9888777,0.708425429113644,24.7701198990785
21438.123046875,2.98959635,0.707546998107791,24.7394055282444
21373.0888671875,2.99000835,0.705847158139283,24.6799705643106
21253.662109375,2.9902016,0.704941483072884,24.648303603947
21138.775390625,2.99036575,0.704139617322472,24.6202663399466
21023.8505859375,2.99020395,0.703262614713567,24.5896019130618
20803.8447265625,2.9905396,0.701492099320146,24.5276957804247
20739.09765625,2.98923445,0.700653983234712,24.4983910221927
20524.3271484375,2.9891877,0.698938032587604,24.4383927478183
20364.498046875,2.9887125,0.697983664290536,24.4050232269418
20294.5654296875,2.98875485,0.696098260471653,24.3391000164914
20169.625,2.98924985,0.695155366401337,24.3061316923544
20044.6982421875,2.98972405,0.694216632961905,24.2733088448218
19815.3515625,2.9887176,0.692354503646575,24.2081994282019
19650.33203125,2.9887555,0.691358298545394,24.1733670820068
19580.37890625,2.9897982,0.689332841382421,24.1025469014832
19455.6533203125,2.9902587,0.688355808269909,24.0683849045423
19245.56640625,2.9895829,0.686330670749566,23.9975759003345
19170.7919921875,2.9890535,0.685281493235872,23.9608913718836
19036.298828125,2.9885507,0.68430573200897,23.9267738464675
18901.5166015625,2.98829055,0.682185523875602,23.8526406949511
18771.6611328125,2.98996635,0.680986609150013,23.8107205996508
18641.72265625,2.99083015,0.679997343229593,23.7761308821536
18437.2216796875,2.9887805,0.678937296990567,23.7390663283415
18367.3603515625,2.9883753,0.676772491636775,23.6633738334537
18252.208984375,2.98826815,0.675671198342323,23.6248670749064
18137.5048828125,2.98956695,0.674515540157714,23.5844594460739
17927.8603515625,2.9899507,0.672184234853704,23.502945274605
17763.1533203125,2.9895604,0.671060465338425,23.4636526342107
17598.2724609375,2.9886186,0.668650537681197,23.3793894294125
17523.3583984375,2.9887328,0.667511138480306,23.3395502965142
17393.1884765625,2.98999105,0.665016414586836,23.2523221883509
17268.068359375,2.9901557,0.663807729027841,23.2100604555189
17148.59765625,2.98949325,0.662580040947379,23.1671342988594
17024.138671875,2.98956975,0.661311605119573,23.1227833957893
16893.9794921875,2.98955735,0.658682464715121,23.0308554096196
16768.9931640625,2.98910305,0.657488002123607,22.9890909833429
16644.228515625,2.9894538,0.65613142567097,22.9416582402437
16519.3857421875,2.9907812,0.654774163786372,22.894201530992
