MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) ChiT(emu/Oeg)
31416,9287109375 3,00749765 0,767177450577893 26,8243863838424 3,18299732351578E-5
31557,1982421875 3,00779685 0,767609068110817 26,8394779059726 3,16884912382095E-5
31692,4140625 3,0085132 0,76797107274816 26,8521354107748 3,15532921546437E-5
31812,439453125 3,00863065 0,768397194944279 26,8670347882615 3,14342445027984E-5
31937,48828125 3,0066297 0,76938424305058 26,9015469598105 3,13111660877566E-5
32062,48828125 3,0051272 0,769812997829108 26,9165383856331 3,11890952201859E-5
32187,59375 3,00638045 0,770170652442367 26,9290437916912 3,10678706761048E-5
32307,720703125 3,00666965 0,770614752997529 26,9445717831304 3,09523537481638E-5
32417,6728515625 3,0073934 0,771030925538483 26,9591232705763 3,08473715734904E-5
32623,1181640625 3,0067832 0,771845791861239 26,9876151000433 3,06531090918708E-5
32703,1328125 3,00718245 0,772245527093624 27,0015918564204 3,05781102297873E-5
32828,326171875 3,0071522 0,772757431807078 27,0194906226251 3,04614982428416E-5
33048,19921875 3,0061836 0,773535814554677 27,0467068026111 3,0258834781916E-5
33128,236328125 3,0063752 0,773935785807877 27,0606918114642 3,01857300852151E-5
33248,310546875 3,0064955 0,774733139213523 27,0885713011721 3,00767161865309E-5
33368,58203125 3,0066253 0,775155746430175 27,1033477772788 2,99683096831472E-5
33488,662109375 3,00694525 0,775526339949439 27,1163055926377 2,98608525098426E-5
33598,833984375 3,00895775 0,775791658447453 27,1255824631977 2,9762937620545E-5
33803,9453125 3,00848805 0,776672553882815 27,1563830028956 2,95823458106892E-5
33874,033203125 3,00770915 0,77708676208746 27,1708658072538 2,95211377400358E-5
34084,1171875 3,0071635 0,777473200426545 27,1843776372918 2,93391785534272E-5
34239,65625 3,0084021 0,778201528345661 27,2098436484497 2,92059006871601E-5
34299,537109375 3,00854015 0,778576735086001 27,2229627652448 2,91549124062865E-5
34514,6015625 3,0083621 0,779342438605657 27,2497356155824 2,89732447929081E-5
34584,724609375 3,0083311 0,779757910567681 27,2642626072616 2,89144994298705E-5
34699,958984375 3,00892965 0,780078597018089 27,2754754202129 2,88184778676623E-5
34910,060546875 3,0069356 0,780904183433153 27,3043420780823 2,86450376864074E-5
34980,294921875 3,00706745 0,781212814806156 27,3151333848306 2,85875234109204E-5
35105,580078125 3,00777985 0,781616132111795 27,3292353885243 2,84854999625293E-5
35225,33984375 3,00816595 0,781923167038596 27,3399708754754 2,83886544298998E-5
35345,44140625 3,0081838 0,782679533219174 27,3664172454257 2,82921915872063E-5
35540,595703125 3,0078137 0,783047995639004 27,3793005468183 2,81368384580023E-5
35605,533203125 3,00840615 0,783364076371162 27,39035232067 2,80855223904422E-5
35735,77734375 3,00860735 0,78404129129749 27,4140311642479 2,79831606958144E-5
35975,8828125 3,007144 0,784500070322322 27,4300723888924 2,77963991936438E-5
36045,771484375 3,00751295 0,785127948597608 27,4520261747415 2,77425051211201E-5
